visit_id,rep_id,hcp_id,visit_date,drug_promoted,visit_duration_minutes
1,1,785,2023-07-06,CardioMax,32
2,1,741,2023-07-19,GlucoShield,28
3,1,1099,2023-07-11,CardioMax,20
4,1,163,2023-07-03,CardioMax,38
5,1,1546,2023-07-05,CardioMax,24
6,1,451,2023-07-13,CardioMax,44
7,1,1289,2023-07-18,CardioMax,30
8,1,1569,2023-07-13,CardioMax,26
9,1,1121,2023-07-25,CardioMax,32
10,1,1431,2023-07-10,CardioMax,27
11,1,1261,2023-07-20,CardioMax,30
12,1,745,2023-07-31,CardioMax,21
13,1,1575,2023-07-06,CardioMax,24
14,1,639,2023-07-18,CardioMax,33
15,1,1123,2023-07-26,CardioMax,20
16,1,1445,2023-07-11,CardioMax,31
17,1,804,2023-07-06,CardioMax,10
18,1,656,2023-07-28,CardioMax,28
19,1,974,2023-07-14,CardioMax,35
20,1,1605,2023-07-03,CardioMax,19
21,1,1873,2023-07-24,CardioMax,33
22,1,1099,2023-07-25,CardioMax,25
23,1,1261,2023-07-25,CardioMax,16
24,1,1808,2023-07-14,CardioMax,18
25,1,210,2023-07-10,CardioMax,28
26,1,467,2023-07-25,CardioMax,27
27,1,1361,2023-07-03,CardioMax,36
28,1,1606,2023-07-05,CardioMax,45
29,1,1665,2023-07-17,CardioMax,11
30,1,878,2023-07-10,CardioMax,27
31,1,195,2023-07-24,CardioMax,22
32,1,959,2023-07-31,CardioMax,24
33,1,467,2023-07-18,GlucoShield,34
34,1,635,2023-07-20,CardioMax,20
35,1,1515,2023-07-17,CardioMax,25
36,1,169,2023-07-28,CardioMax,38
37,1,1612,2023-07-04,CardioMax,31
38,1,909,2023-07-13,CardioMax,23
39,1,1140,2023-07-10,CardioMax,33
40,1,195,2023-07-21,GlucoShield,27
41,1,714,2023-07-25,CardioMax,28
42,1,195,2023-07-17,CardioMax,18
43,1,1926,2023-07-27,CardioMax,22
44,1,1575,2023-07-14,CardioMax,20
45,1,983,2023-07-04,CardioMax,15
46,1,461,2023-07-13,GlucoShield,21
47,1,1878,2023-07-31,CardioMax,27
48,1,1012,2023-08-18,CardioMax,32
49,1,364,2023-08-10,CardioMax,25
50,1,1018,2023-08-16,CardioMax,29
51,1,1351,2023-08-04,CardioMax,25
52,1,49,2023-08-11,CardioMax,33
53,1,26,2023-08-08,CardioMax,20
54,1,169,2023-08-09,CardioMax,13
55,1,1090,2023-08-29,CardioMax,25
56,1,1660,2023-08-30,CardioMax,33
57,1,11,2023-08-22,CardioMax,43
58,1,1878,2023-08-01,CardioMax,24
59,1,214,2023-08-21,CardioMax,23
60,1,1652,2023-08-02,CardioMax,33
61,1,1018,2023-08-18,CardioMax,26
62,1,1218,2023-08-29,CardioMax,28
63,1,1054,2023-08-30,CardioMax,10
64,1,1012,2023-08-16,CardioMax,22
65,1,1639,2023-08-18,GlucoShield,24
66,1,1482,2023-08-17,CardioMax,17
67,1,1018,2023-08-18,CardioMax,26
68,1,222,2023-08-18,CardioMax,11
69,1,228,2023-08-28,CardioMax,38
70,1,1562,2023-08-25,CardioMax,32
71,1,1085,2023-08-18,CardioMax,27
72,1,1017,2023-08-31,CardioMax,33
73,1,1291,2023-08-21,CardioMax,24
74,1,1665,2023-08-03,CardioMax,27
75,1,1172,2023-08-11,CardioMax,32
76,1,1492,2023-08-14,CardioMax,24
77,1,1500,2023-08-15,CardioMax,27
78,1,745,2023-08-09,CardioMax,15
79,1,555,2023-08-21,CardioMax,18
80,1,1562,2023-08-16,CardioMax,29
81,1,803,2023-08-31,CardioMax,19
82,1,1808,2023-08-29,CardioMax,25
83,1,156,2023-08-04,CardioMax,29
84,1,108,2023-08-25,CardioMax,25
85,1,1871,2023-08-15,CardioMax,44
86,1,1205,2023-08-04,CardioMax,30
87,1,1133,2023-09-06,GlucoShield,20
88,1,962,2023-09-29,CardioMax,29
89,1,1639,2023-09-01,CardioMax,18
90,1,541,2023-09-25,CardioMax,22
91,1,965,2023-09-19,CardioMax,16
92,1,1090,2023-09-27,CardioMax,35
93,1,1261,2023-09-21,CardioMax,37
94,1,1532,2023-09-13,GlucoShield,21
95,1,848,2023-09-18,CardioMax,29
96,1,1205,2023-09-07,CardioMax,16
97,1,290,2023-09-11,CardioMax,31
98,1,1873,2023-09-14,CardioMax,25
99,1,813,2023-09-15,CardioMax,25
100,1,1402,2023-09-28,CardioMax,19
101,1,40,2023-09-11,CardioMax,18
102,1,418,2023-09-19,CardioMax,34
103,1,1021,2023-09-01,CardioMax,27
104,1,1708,2023-09-25,CardioMax,30
105,1,1081,2023-09-26,CardioMax,22
106,1,1873,2023-09-08,CardioMax,31
107,1,1018,2023-09-29,CardioMax,35
108,1,1022,2023-09-28,CardioMax,37
109,1,232,2023-09-08,CardioMax,37
110,1,1569,2023-09-29,CardioMax,24
111,1,508,2023-09-29,CardioMax,28
112,1,1736,2023-09-21,CardioMax,10
113,1,1838,2023-09-28,CardioMax,36
114,1,1898,2023-09-28,CardioMax,39
115,1,1076,2023-09-27,CardioMax,18
116,1,1289,2023-09-29,CardioMax,15
117,1,1519,2023-09-19,CardioMax,24
118,1,268,2023-09-27,CardioMax,24
119,1,1149,2023-09-19,GlucoShield,28
120,1,52,2023-09-26,CardioMax,15
121,1,1044,2023-09-18,CardioMax,27
122,1,302,2023-09-06,CardioMax,28
123,1,370,2023-09-25,CardioMax,32
124,1,756,2023-09-12,CardioMax,35
125,1,916,2023-09-22,CardioMax,10
126,1,1500,2023-10-02,CardioMax,30
127,1,1873,2023-10-13,CardioMax,25
128,1,1900,2023-10-24,CardioMax,15
129,1,771,2023-10-09,CardioMax,24
130,1,269,2023-10-09,CardioMax,23
131,1,1072,2023-10-19,CardioMax,18
132,1,228,2023-10-06,CardioMax,21
133,1,1878,2023-10-18,CardioMax,40
134,1,370,2023-10-20,CardioMax,27
135,1,511,2023-10-12,CardioMax,34
136,1,864,2023-10-24,GlucoShield,27
137,1,813,2023-10-17,CardioMax,31
138,1,1552,2023-10-09,CardioMax,18
139,1,974,2023-10-13,CardioMax,26
140,1,338,2023-10-26,CardioMax,36
141,1,552,2023-10-24,CardioMax,17
142,1,1054,2023-10-05,CardioMax,23
143,1,289,2023-10-25,CardioMax,28
144,1,1163,2023-10-25,CardioMax,13
145,1,1122,2023-10-27,CardioMax,28
146,1,1367,2023-10-31,CardioMax,24
147,1,1880,2023-10-12,CardioMax,21
148,1,1848,2023-10-24,CardioMax,17
149,1,1900,2023-10-26,CardioMax,23
150,1,483,2023-10-13,CardioMax,24
151,1,268,2023-10-12,CardioMax,25
152,1,642,2023-10-04,CardioMax,18
153,1,1733,2023-10-10,GlucoShield,22
154,1,1938,2023-10-27,CardioMax,31
155,1,1665,2023-10-05,CardioMax,27
156,1,222,2023-10-24,CardioMax,24
157,1,1900,2023-10-31,CardioMax,15
158,1,905,2023-10-23,GlucoShield,25
159,1,18,2023-10-05,CardioMax,26
160,1,960,2023-10-30,CardioMax,29
161,1,81,2023-10-02,CardioMax,31
162,1,1099,2023-10-16,CardioMax,10
163,1,714,2023-10-12,CardioMax,24
164,1,1001,2023-10-23,GlucoShield,34
165,1,1163,2023-10-16,CardioMax,37
166,1,1690,2023-10-18,CardioMax,27
167,1,1261,2023-10-27,CardioMax,21
168,1,936,2023-10-10,CardioMax,18
169,1,1605,2023-10-25,CardioMax,25
170,1,1820,2023-10-03,CardioMax,22
171,1,232,2023-10-23,CardioMax,25
172,1,1087,2023-10-10,CardioMax,14
173,1,590,2023-10-16,CardioMax,29
174,1,81,2023-10-24,CardioMax,19
175,1,1268,2023-10-25,CardioMax,32
176,1,1675,2023-10-17,CardioMax,14
177,1,1933,2023-11-13,CardioMax,18
178,1,355,2023-11-08,CardioMax,16
179,1,1145,2023-11-30,CardioMax,38
180,1,906,2023-11-23,CardioMax,23
181,1,962,2023-11-16,CardioMax,27
182,1,511,2023-11-17,CardioMax,29
183,1,1611,2023-11-09,CardioMax,29
184,1,1018,2023-11-07,CardioMax,27
185,1,1099,2023-11-20,CardioMax,34
186,1,656,2023-11-28,CardioMax,13
187,1,364,2023-11-02,CardioMax,22
188,1,194,2023-11-27,CardioMax,38
189,1,1367,2023-11-01,CardioMax,20
190,1,402,2023-11-03,CardioMax,20
191,1,1322,2023-11-24,CardioMax,30
192,1,827,2023-11-29,CardioMax,24
193,1,878,2023-11-10,CardioMax,30
194,1,997,2023-11-06,CardioMax,31
195,1,771,2023-11-06,CardioMax,27
196,1,210,2023-11-01,GlucoShield,35
197,1,667,2023-11-28,CardioMax,29
198,1,1261,2023-11-01,CardioMax,25
199,1,1267,2023-11-13,CardioMax,23
200,1,590,2023-11-22,CardioMax,35
201,1,983,2023-11-01,CardioMax,15
202,1,402,2023-11-13,CardioMax,24
203,1,419,2023-11-27,CardioMax,25
204,1,41,2023-11-30,CardioMax,30
205,1,1735,2023-11-09,CardioMax,32
206,1,419,2023-11-10,CardioMax,18
207,1,466,2023-11-02,CardioMax,24
208,1,570,2023-11-28,GlucoShield,21
209,1,263,2023-11-28,CardioMax,32
210,1,1198,2023-11-27,CardioMax,35
211,1,169,2023-11-23,CardioMax,27
212,1,268,2023-11-17,CardioMax,16
213,1,1202,2023-11-20,CardioMax,28
214,1,718,2023-11-09,CardioMax,33
215,1,1355,2023-11-10,CardioMax,27
216,1,1120,2023-11-08,CardioMax,37
217,1,518,2023-11-22,CardioMax,33
218,1,1206,2023-11-06,CardioMax,30
219,1,228,2023-11-28,CardioMax,28
220,1,1090,2023-11-27,CardioMax,40
221,1,1076,2023-12-04,CardioMax,29
222,1,163,2023-12-07,CardioMax,26
223,1,399,2023-12-19,CardioMax,24
224,1,1646,2023-12-14,CardioMax,22
225,1,1394,2023-12-07,CardioMax,13
226,1,1733,2023-12-25,CardioMax,22
227,1,232,2023-12-04,CardioMax,19
228,1,1982,2023-12-26,CardioMax,32
229,1,419,2023-12-06,CardioMax,32
230,1,26,2023-12-13,CardioMax,27
231,1,1992,2023-12-07,CardioMax,24
232,1,570,2023-12-13,CardioMax,24
233,1,1268,2023-12-19,CardioMax,35
234,1,355,2023-12-19,CardioMax,32
235,1,1129,2023-12-01,GlucoShield,27
236,1,1808,2023-12-19,CardioMax,37
237,1,700,2023-12-05,CardioMax,41
238,1,1268,2023-12-11,CardioMax,29
239,1,373,2023-12-12,CardioMax,19
240,1,1171,2023-12-14,CardioMax,19
241,1,714,2023-12-15,CardioMax,28
242,1,419,2023-12-22,CardioMax,32
243,1,667,2023-12-20,CardioMax,35
244,1,364,2023-12-11,CardioMax,37
245,1,1736,2023-12-27,CardioMax,29
246,1,848,2023-12-13,CardioMax,17
247,1,483,2023-12-14,CardioMax,22
248,1,965,2023-12-07,CardioMax,21
249,1,700,2023-12-19,CardioMax,30
250,1,1439,2023-12-27,CardioMax,28
251,1,1938,2023-12-04,CardioMax,20
252,1,959,2023-12-22,CardioMax,24
253,1,1675,2023-12-12,CardioMax,39
254,1,1122,2023-12-15,CardioMax,31
255,1,302,2023-12-27,CardioMax,28
256,1,1322,2023-12-20,CardioMax,21
257,1,1071,2023-12-27,CardioMax,29
258,1,1206,2023-12-13,CardioMax,36
259,1,1720,2023-12-08,CardioMax,25
260,1,959,2023-12-20,CardioMax,30
261,1,1736,2023-12-12,CardioMax,18
262,1,1454,2023-12-15,CardioMax,35
263,1,1021,2023-12-27,CardioMax,37
264,1,1151,2023-12-21,CardioMax,35
265,1,1179,2024-01-02,GlucoShield,26
266,1,1454,2024-01-15,CardioMax,18
267,1,959,2024-01-09,CardioMax,16
268,1,1873,2024-01-30,CardioMax,31
269,1,1179,2024-01-22,CardioMax,13
270,1,596,2024-01-24,CardioMax,27
271,1,1198,2024-01-19,CardioMax,23
272,1,590,2024-01-05,GlucoShield,26
273,1,635,2024-01-11,CardioMax,35
274,1,851,2024-01-17,CardioMax,36
275,1,1660,2024-01-25,CardioMax,25
276,1,1048,2024-01-24,CardioMax,33
277,1,1291,2024-01-10,CardioMax,31
278,1,838,2024-01-05,CardioMax,16
279,1,541,2024-01-11,CardioMax,23
280,1,1918,2024-01-31,CardioMax,16
281,1,1151,2024-01-16,CardioMax,34
282,1,1878,2024-01-24,GlucoShield,32
283,1,417,2024-01-15,CardioMax,15
284,1,289,2024-01-10,CardioMax,43
285,1,1665,2024-01-24,CardioMax,40
286,1,1291,2024-01-30,CardioMax,42
287,1,373,2024-01-03,CardioMax,13
288,1,553,2024-01-30,CardioMax,30
289,1,1562,2024-01-05,CardioMax,25
290,1,970,2024-01-22,CardioMax,24
291,1,1268,2024-01-17,CardioMax,25
292,1,697,2024-01-09,CardioMax,15
293,1,813,2024-01-26,CardioMax,26
294,1,1982,2024-01-01,CardioMax,32
295,1,508,2024-01-16,CardioMax,22
296,1,1050,2024-01-22,CardioMax,25
297,1,1652,2024-01-15,CardioMax,10
298,1,479,2024-01-15,CardioMax,32
299,1,878,2024-01-31,CardioMax,19
300,1,1165,2024-01-26,CardioMax,30
301,1,1017,2024-01-30,CardioMax,26
302,1,974,2024-01-25,CardioMax,21
303,1,747,2024-01-29,CardioMax,28
304,1,1133,2024-01-01,CardioMax,20
305,1,962,2024-02-23,CardioMax,35
306,1,228,2024-02-05,CardioMax,15
307,1,741,2024-02-08,CardioMax,21
308,1,1992,2024-02-14,CardioMax,22
309,1,1720,2024-02-28,CardioMax,21
310,1,81,2024-02-13,CardioMax,35
311,1,1121,2024-02-12,CardioMax,24
312,1,1205,2024-02-15,CardioMax,18
313,1,419,2024-02-29,CardioMax,32
314,1,289,2024-02-26,CardioMax,28
315,1,1808,2024-02-09,GlucoShield,36
316,1,1933,2024-02-26,CardioMax,28
317,1,1982,2024-02-07,CardioMax,23
318,1,1546,2024-02-05,CardioMax,23
319,1,1261,2024-02-27,CardioMax,39
320,1,727,2024-02-16,CardioMax,22
321,1,351,2024-02-12,CardioMax,35
322,1,192,2024-02-09,CardioMax,26
323,1,1333,2024-02-23,CardioMax,24
324,1,1534,2024-02-28,CardioMax,13
325,1,1611,2024-02-02,CardioMax,16
326,1,1848,2024-02-13,CardioMax,36
327,1,1708,2024-02-21,GlucoShield,39
328,1,1992,2024-02-23,CardioMax,30
329,1,483,2024-02-06,CardioMax,29
330,1,1492,2024-02-01,CardioMax,24
331,1,1133,2024-02-19,CardioMax,30
332,1,533,2024-02-08,CardioMax,31
333,1,1966,2024-02-14,CardioMax,25
334,1,1735,2024-02-01,CardioMax,31
335,1,263,2024-02-12,GlucoShield,31
336,1,43,2024-02-09,GlucoShield,17
337,1,1309,2024-02-29,CardioMax,24
338,1,1151,2024-02-22,CardioMax,26
339,1,1878,2024-02-06,CardioMax,24
340,1,467,2024-02-09,CardioMax,29
341,1,194,2024-02-22,CardioMax,35
342,1,533,2024-02-29,CardioMax,21
343,1,40,2024-02-06,CardioMax,24
344,1,52,2024-02-13,CardioMax,19
345,1,1848,2024-02-28,CardioMax,45
346,1,744,2024-02-07,CardioMax,37
347,1,867,2024-02-14,CardioMax,33
348,1,40,2024-02-14,CardioMax,27
349,1,553,2024-02-07,CardioMax,23
350,1,1569,2024-02-21,CardioMax,36
351,1,1165,2024-02-12,CardioMax,27
352,1,1477,2024-02-27,CardioMax,21
353,1,962,2024-02-15,CardioMax,37
354,1,667,2024-02-29,CardioMax,39
355,1,1018,2024-02-23,CardioMax,26
356,1,700,2024-02-09,CardioMax,26
357,1,1646,2024-02-01,CardioMax,27
358,1,639,2024-02-26,CardioMax,32
359,1,1218,2024-02-08,GlucoShield,18
360,1,269,2024-02-01,CardioMax,21
361,1,1309,2024-02-09,CardioMax,23
362,1,1848,2024-02-14,CardioMax,29
363,1,1161,2024-02-26,CardioMax,21
364,1,1120,2024-02-23,CardioMax,30
365,1,1926,2024-02-22,CardioMax,37
366,1,1172,2024-02-08,CardioMax,36
367,1,533,2024-02-23,CardioMax,23
368,1,635,2024-02-02,CardioMax,21
369,1,1355,2024-02-22,CardioMax,36
370,1,1416,2024-02-21,CardioMax,31
371,1,656,2024-02-02,CardioMax,29
372,1,727,2024-02-05,CardioMax,29
373,1,1982,2024-02-21,CardioMax,18
374,1,212,2024-02-08,CardioMax,28
375,1,860,2024-02-29,CardioMax,13
376,1,149,2024-02-07,CardioMax,35
377,1,1606,2024-02-02,CardioMax,18
378,1,203,2024-02-21,CardioMax,30
379,1,1287,2024-02-05,CardioMax,17
380,1,108,2024-02-26,CardioMax,24
381,1,1287,2024-02-29,CardioMax,21
382,1,41,2024-03-08,GlucoShield,32
383,1,1605,2024-03-14,GlucoShield,31
384,1,30,2024-03-19,CardioMax,22
385,1,1218,2024-03-18,CardioMax,25
386,1,756,2024-03-28,CardioMax,20
387,1,1163,2024-03-20,CardioMax,31
388,1,1333,2024-03-29,CardioMax,26
389,1,718,2024-03-08,CardioMax,34
390,1,214,2024-03-29,CardioMax,25
391,1,156,2024-03-12,CardioMax,37
392,1,1133,2024-03-25,CardioMax,31
393,1,1076,2024-03-18,CardioMax,30
394,1,1439,2024-03-22,CardioMax,42
395,1,1054,2024-03-20,GlucoShield,23
396,1,905,2024-03-28,CardioMax,17
397,1,848,2024-03-08,CardioMax,28
398,1,43,2024-03-13,CardioMax,24
399,1,714,2024-03-28,CardioMax,28
400,1,1940,2024-03-07,CardioMax,24
401,1,1704,2024-03-25,CardioMax,37
402,1,709,2024-03-27,CardioMax,12
403,1,1133,2024-03-21,CardioMax,18
404,1,1653,2024-03-26,CardioMax,23
405,1,960,2024-03-05,CardioMax,22
406,1,40,2024-03-27,CardioMax,30
407,1,169,2024-03-18,CardioMax,20
408,1,1054,2024-03-18,CardioMax,25
409,1,1933,2024-03-20,CardioMax,14
410,1,1333,2024-03-08,GlucoShield,21
411,1,163,2024-03-22,CardioMax,30
412,1,399,2024-03-08,CardioMax,32
413,1,1503,2024-03-07,CardioMax,22
414,1,1652,2024-03-14,CardioMax,24
415,1,1165,2024-03-28,CardioMax,33
416,1,1202,2024-03-07,CardioMax,10
417,1,43,2024-03-01,CardioMax,28
418,1,1612,2024-03-18,CardioMax,19
419,1,1546,2024-03-28,CardioMax,26
420,1,533,2024-03-12,CardioMax,22
421,1,1361,2024-03-07,CardioMax,30
422,1,442,2024-03-21,CardioMax,22
423,1,54,2024-03-07,CardioMax,33
424,1,417,2024-03-22,CardioMax,29
425,1,1926,2024-04-24,CardioMax,17
